Education Qualification,Subject Expertise,Teaching Years,Student Performance,Attendance,Courses Previously Taught,Seminars Attended,Research Interests,Learning Style,Certifications,Teaching Methodology,Future Courses,Age,Gender,University Type,Publication Count,Student Feedback Score
PhD,Computer Science,15,3.9499999999999997,57,"Algorithms, Cybersecurity",AI in Computer Science,Data Science,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,"Algorithms, Artificial Intelligence",65,Non-Binary,State University,5,4.8
PhD,Information Technology,18,3.52,92,"Cloud Computing, Blockchain","Data Science in Information Technology, Cybersecurity Trends in Information Technology, AI in Information Technology",Database Systems,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Flipped Classroom,"Big Data, Database Systems",77,Non-Binary,State University,23,4.7
Bachelors,Information Technology,8,3.68,85,"IT Project Management, IoT, Web Development, Big Data","Cloud Innovations in Information Technology, AI in Information Technology, Data Science in Information Technology",Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,Blockchain,38,Non-Binary,Open University,3,3.8
Masters,Information Technology,16,4.0,82,"Big Data, Database Systems, IT Project Management",Data Science in Information Technology,"IoT, Web Development","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Cloud Computing,57,Male,Open University,8,3.6
Masters,Information Technology,20,3.04,61,"Blockchain, Cloud Computing, Network Security, IT Project Management",AI in Information Technology,Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Flipped Classroom,"Blockchain, Network Security",62,Female,Open University,9,4.3
Bachelors,Computer Science,5,3.9299999999999997,82,"Data Structures, Cybersecurity, Artificial Intelligence",AI in Computer Science,"Algorithms, Software Engineering","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",AI & Deep Learning,Hands-on Projects,"Machine Learning, Operating Systems",28,Male,Community College,0,3.4
Masters,Computer Science,11,3.77,90,"Data Structures, Artificial Intelligence, Data Science",Cybersecurity Trends in Computer Science,"Software Engineering, Machine Learning","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Azure Certification,Hands-on Projects,"Artificial Intelligence, Algorithms",54,Male,Community College,4,3.3
Bachelors,Information Technology,2,3.0700000000000003,58,"Cloud Computing, Blockchain, IT Project Management, Database Systems",Data Science in Information Technology,Big Data,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Case Studies,Network Security,29,Female,Open University,2,3.8
PhD,Information Technology,30,4.0,87,"Big Data, Network Security, IoT, Cloud Computing","Data Science in Information Technology, Cloud Innovations in Information Technology",Blockchain,"['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",None,Hands-on Projects,"Database Systems, Network Security",71,Non-Binary,State University,22,4.8
PhD,Information Technology,12,4.0,93,"Web Development, Network Security, IoT","AI in Information Technology, Cybersecurity Trends in Information Technology, Data Science in Information Technology","Blockchain, Network Security","['Workshop', 'Seminar', 'Bootcamp', 'One-on-One', 'Hands-on', 'Group Work']",Cisco Network Cert,Case Studies,Cloud Computing,53,Non-Binary,Private University,14,4.2
